dataset,class,class_label,unit,geometry,mentions,docs,split,family,cls,as_named,aliases
world bank human capital project report,admin_linked,named area,country only,no — aggregate,1,1,False,"named source, family not stated","{""admin_linked"": 1}",World Bank Human Capital Project Report,
world bank informing refugee policy response in uganda results f,admin_linked,named area,province / region / state,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""admin_linked"": 1}",World Bank. 2019 Informing the Refugee Policy Response in Uganda: Results from the Uganda Refugee and Host Communities,
world bank kenya economic update june,non_spatial,no place,—,no — aggregate,1,1,False,"named source, family not stated","{""non_spatial"": 1}","World Bank Kenya Economic Update, June 2021",
world bank lebanon economic and social impact assessment of syri,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",The World Bank. Lebanon Economic and Social Impact Assessment of the Syrian Conflict. 2013,
world bank list,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",World Bank list,
world bank listening to citizens of uzbekistan survey,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""admin_linked"": 1}",World Bank Listening to Citizens of Uzbekistan Survey,
world bank macro poverty outlook for sudan,non_spatial,no place,—,no — aggregate,1,1,False,"named source, family not stated","{""non_spatial"": 1}",World Bank Macro Poverty Outlook for Sudan,
world bank macro-fiscal model,non_spatial,no place,—,no — aggregate,1,1,False,"named source, family not stated","{""non_spatial"": 1}",World Bank Macro-Fiscal Model,
world bank national accounts,admin_linked,named area,country only,no — aggregate,1,1,False,"named source, family not stated","{""admin_linked"": 1}",World Bank national accounts data,
world bank online screening tool,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",World Bank online screening tool,
world bank open data,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",World Bank Open Data sources,
world bank open data portal,non_spatial,no place,—,no — aggregate,1,1,False,"named source, family not stated","{""non_spatial"": 1}",2020 World Bank Open Data Portal data,
world bank policy research working paper 10130 ( ),unclear,place not stated,—,unknown,1,1,False,"named source, family not stated","{""unclear"": 1}",World Bank Policy Research Working Paper 10130 (2022),
world bank poverty and vulnerability in ethiopian lowlands build,admin_linked,named area,not stated,unknown,1,1,False,"named source, family not stated","{""admin_linked"": 1}",World Bank. 2019. Poverty and Vulnerability in the Ethiopian Lowlands: Building a More Resilient Future.,
world bank poverty estimates,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",2016 World Bank poverty estimates,
world bank profiting from parity unlocking potential of women s ,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",World Bank 2019. Profiting from Parity: Unlocking the Potential of Women’s Business in Africa,
world bank projections,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",World Bank projections,
world bank regional balkans infrastructure study,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,"named source, family not stated","{""point_geocoded"": 1}",World Bank Regional Balkans Infrastructure Study,
world bank report social cohesion and forced displacement,unclear,place not stated,—,unknown,1,1,False,"named source, family not stated","{""unclear"": 1}","The 2022 World Bank report, _Social Cohesion and Forced Displacement",
world bank revenue dashboard,non_spatial,no place,—,no — aggregate,1,1,False,monitoring / tracking system,"{""non_spatial"": 1}",World Bank Revenue Dashboard,
world bank s assessment of procurement risk and capacity for kse,unclear,place not stated,—,unknown,1,1,False,"named source, family not stated","{""unclear"": 1}",The World Bank's assessment of the procurement risk and capacity for KSEIP2,
world bank s enterprise survey,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""non_spatial"": 1}",World Bank’s Enterprise Survey,
world bank s lifelines report,non_spatial,no place,—,no — aggregate,1,1,False,"named source, family not stated","{""non_spatial"": 1}",the World Bank's Lifelines report,
world bank s pathways to prosperity regional report on adolescen,unclear,place not stated,—,unknown,1,1,False,"named source, family not stated","{""unclear"": 1}",the World Bank’s Pathways to Prosperity regional report on adolescent girls in Africa (2025,
world bank s sci,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,official statistics series,"{""non_spatial"": 1}",The World Bank’s SCI,
world bank safe and resilient cities in ethiopia,admin_linked,named area,local (ward/village/camp/kebele),unknown,1,1,False,"named source, family not stated","{""admin_linked"": 1}",World Bank. 2017. Safe and Resilient Cities in Ethiopia.,
world bank statistical capacity indicator,non_spatial,no place,—,unknown,1,1,False,official statistics series,"{""non_spatial"": 1}",World Bank Statistical Capacity Indicator,
world bank statistical performance index,non_spatial,no place,—,no — aggregate,1,1,False,"household or phone survey, official statistics series","{""non_spatial"": 1}",World Bank Statistical Performance Index,
world bank statistics,non_spatial,no place,—,unknown,1,1,False,official statistics series,"{""non_spatial"": 1}",the World Bank statistics,
world bank step system,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""non_spatial"": 1}",World Bank STEP system,
world bank survey of civil servants,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""non_spatial"": 1}",2022 World Bank survey of civil servants,
world bank surveys,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""unclear"": 1}",World Bank surveys,
world bank surveys pre-covid in and post-outbreak in,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""non_spatial"": 1}",World Bank surveys pre-COVID in 2019 and post-outbreak in 2022,
world bank systematic country diagnostic for ethiopia,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""unclear"": 1}",World Bank Systematic Country Diagnostic for Ethiopia 2016,
world bank technology adoption survey,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""unclear"": 1}",World Bank Technology Adoption Survey,
world bank uganda economic update 16th ed investing in uganda s ,unclear,place not stated,—,unknown,1,1,False,"named source, family not stated","{""unclear"": 1}","World Bank, 2020. _Uganda Economic Update, 16th ed: Investing in Uganda’s Youth._",
world bank unlocking ethiopia s urban land and housing markets,admin_linked,named area,local (ward/village/camp/kebele),yes — coordinates or a layer exists,1,1,False,"official statistics series, facility / asset / infrastructure records","{""admin_linked"": 1}",World Bank. 2019. Unlocking Ethiopia's Urban Land and Housing Markets.,
world bank wdi,non_spatial,no place,—,no — aggregate,1,1,False,registry / administrative database,"{""non_spatial"": 1}",World Bank WDI database,
world bank-international monetary fund debt sustainability analy,non_spatial,no place,—,no — aggregate,1,1,False,"named source, family not stated","{""non_spatial"": 1}",The latest World Bank-International Monetary Fund Debt Sustainability Analysis (2020,
world bank-led survey on refugee self-reliance,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""admin_linked"": 1}",World Bank-led survey on refugee self-reliance,
world bank-moics firm survey,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""admin_linked"": 1}",World Bank-MoICS firm survey,
world development indicator,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",World Development Indicator,
